"jobid","unempdur","interim","callback","old"
3295,0,0,0,0
3265,0,1,0,0
3318,4,0,0,0
3337,0,1,0,0
3355,0,1,0,1
3287,0,1,0,0
3263,52,0,0,0
3327,4,1,0,1
3264,52,1,0,1
3246,24,0,0,1
3335,52,0,0,1
3290,52,0,0,1
3257,0,1,0,1
3319,24,0,0,1
3234,24,0,0,1
3207,12,1,0,0
3333,4,0,0,1
3295,12,1,0,1
3340,12,0,0,0
3344,12,0,0,1
3207,24,1,0,1
3344,52,0,0,1
3230,4,1,0,1
3355,0,0,0,1
3262,24,1,0,0
3368,52,1,0,1
3271,4,0,0,1
3229,52,0,1,0
3230,52,0,0,0
3348,24,1,0,0
3258,4,0,0,1
3349,12,0,0,0
3244,12,0,0,1
3261,12,1,0,1
3307,24,1,0,0
3290,24,1,0,0
3335,12,0,0,0
3285,52,1,0,1
3281,0,1,0,0
3350,4,0,0,0
3249,24,0,0,0
3323,0,0,0,1
3284,0,0,0,0
3328,24,1,0,1
3328,24,0,0,1
3294,52,1,0,1
3238,12,1,0,0
3365,0,0,0,0
3287,52,1,0,1
3265,4,0,0,0
3282,52,0,0,1
3303,12,0,0,1
3290,24,1,0,0
3251,24,1,0,1
3208,52,0,0,1
3358,12,1,0,1
3273,4,1,0,1
3245,12,0,0,1
3324,52,1,0,1
3353,12,1,0,0
3280,12,0,0,0
3283,12,0,0,0
3221,24,0,0,1
3323,12,0,0,0
3211,52,1,0,1
3353,24,0,0,1
3359,12,0,0,0
3320,12,0,0,1
3386,12,1,1,0
3361,24,1,0,0
3319,12,1,0,0
3283,12,1,0,1
3354,4,1,0,0
3275,4,0,0,1
3318,24,1,0,0
3275,12,0,0,0
3288,52,1,0,1
3356,12,0,0,0
3316,52,1,1,0
3298,12,0,0,0
3379,0,0,0,1
3298,24,1,0,0
3277,24,0,0,1
3255,0,0,0,0
3280,0,0,0,1
3310,0,1,0,0
3380,24,0,0,0
3273,24,1,0,0
3307,0,1,0,0
3283,4,1,0,1
3361,52,1,1,1
3306,12,0,0,0
3289,4,1,0,0
3305,24,1,1,0
3305,4,1,0,0
3302,0,0,0,1
3272,24,1,0,1
3252,0,1,0,1
3304,24,1,0,0
3354,4,1,0,1
3304,52,0,0,0
3304,52,1,0,1
3303,12,1,0,0
3199,24,1,0,1
3358,24,0,0,1
3358,12,1,0,0
3352,24,0,0,0
3255,4,0,0,1
3289,52,1,0,1
3254,52,0,0,1
3265,52,0,0,1
3377,12,1,0,1
3253,52,0,0,0
3253,52,0,0,0
3282,4,1,0,1
3362,0,1,0,0
3204,52,1,0,1
3253,24,1,0,1
3373,24,1,0,0
3253,4,1,0,1
3316,12,0,0,1
3252,52,0,1,0
3364,24,1,0,1
3365,24,1,0,0
3294,0,1,0,1
3251,4,0,0,0
3313,4,0,0,1
3249,4,1,0,1
3366,12,1,0,1
3367,4,0,0,0
3248,24,0,0,1
3226,24,1,1,0
3247,52,1,0,0
3320,24,1,0,0
3231,4,1,0,1
3317,24,0,0,1
3245,24,0,0,0
3376,0,0,0,1
3282,4,0,0,0
3349,12,1,0,1
3197,4,0,0,0
3202,0,0,0,0
3201,4,1,0,1
3378,0,0,0,0
3243,24,0,0,0
3309,4,0,0,1
3324,24,0,0,0
3386,24,0,0,1
3240,24,0,0,1
3226,4,1,0,1
3251,0,1,0,0
3238,4,1,0,0
3235,24,0,0,1
3367,0,1,0,1
3268,4,1,0,1
3233,52,1,0,1
3273,0,1,0,0
3333,4,0,0,0
3345,52,0,1,0
3310,52,0,0,1
3229,52,0,0,1
3228,4,1,0,0
3220,52,0,0,0
3302,0,0,0,0
3227,24,1,0,0
3256,12,1,0,1
3223,12,1,0,0
3223,52,0,0,1
3222,24,0,0,0
3222,52,0,0,1
3221,24,1,0,0
3232,4,0,0,0
3196,4,0,0,1
3303,4,1,0,0
3219,52,1,0,1
3355,4,1,0,0
3375,4,1,0,1
3331,12,0,0,1
3333,12,0,0,1
3194,12,1,0,0
3316,12,1,1,0
3211,12,0,0,1
3293,12,0,0,1
3312,4,1,0,0
3373,0,1,0,1
3351,52,0,0,0
3213,0,1,0,0
3210,0,0,0,0
3209,24,0,0,0
3208,24,1,0,0
3208,52,0,0,0
3371,12,0,0,0
3291,24,1,0,0
3201,12,1,0,0
3281,24,1,0,0
3202,12,1,0,1
3282,52,1,0,0
3200,24,1,0,0
3214,52,1,0,1
3294,4,1,0,0
3198,0,0,1,1
3344,24,1,0,0
3320,24,1,0,1
3197,12,0,0,1
3196,24,1,0,1
3200,52,1,0,1
3193,12,0,0,1
3358,52,1,0,0
3361,4,0,1,1
3247,52,1,0,1
3382,52,0,0,1
3276,12,1,0,0
3295,0,1,0,0
3199,52,0,0,0
3313,0,0,0,0
3367,24,1,0,1
3372,12,1,0,1
3309,12,1,0,0
3301,52,0,0,0
3231,0,0,0,0
3321,0,1,0,1
3208,52,1,0,1
3245,12,1,0,0
3279,0,0,0,0
3320,0,1,0,0
3237,12,0,0,1
3322,0,1,0,0
3300,52,1,0,1
3229,0,0,0,1
3312,24,1,0,1
3280,12,0,0,0
3326,52,1,0,1
3307,24,0,0,1
3233,4,0,0,0
3368,0,0,0,0
3290,24,1,0,1
3364,0,1,0,1
3345,12,0,0,1
3257,24,0,0,1
3349,52,0,0,0
3198,52,0,1,1
3362,52,0,0,1
3315,24,1,0,0
3378,4,1,0,1
3252,12,1,0,0
3293,12,1,0,0
3263,52,1,0,1
3372,12,0,0,1
3250,24,1,0,0
3357,52,1,0,0
3223,12,1,0,0
3207,52,1,0,0
3267,24,1,0,1
3236,12,0,0,0
3311,4,0,0,1
3286,24,0,0,0
3324,4,0,0,0
3203,4,1,0,0
3262,12,0,0,1
3325,4,0,1,0
3244,52,1,0,0
3328,52,0,0,0
3259,4,1,0,1
3245,24,1,0,1
3379,0,1,0,1
3276,24,1,0,1
3373,0,0,0,1
3210,52,0,0,1
3369,24,1,0,0
3297,0,1,0,0
3359,52,1,0,0
3359,52,0,0,1
3384,52,1,0,0
3353,12,1,0,0
3313,52,0,0,1
3237,12,1,0,1
3194,12,0,0,0
3356,12,1,0,1
3206,0,0,0,1
3301,4,0,0,1
3332,12,1,0,0
3325,4,0,0,0
3244,52,1,0,0
3348,52,0,0,0
3287,12,0,0,0
3254,4,0,0,1
3335,0,0,0,1
3316,4,1,0,1
3345,24,0,0,0
3354,24,0,0,0
3241,4,1,0,0
3323,12,1,0,0
3250,12,1,0,1
3334,24,1,0,1
3349,12,0,0,1
3199,12,0,0,1
3293,24,0,0,0
3284,52,0,0,1
3232,52,1,0,0
3205,12,0,0,0
3321,4,0,0,1
3347,52,1,0,0
3305,0,1,0,1
3286,4,0,1,1
3258,12,1,0,0
3296,24,0,0,0
3356,24,0,0,1
3260,12,1,0,0
3322,52,0,0,1
3278,12,0,0,1
3259,24,0,1,0
3255,4,0,0,1
3327,0,1,0,1
3364,24,1,0,0
3350,24,0,0,1
3205,12,1,1,1
3378,24,1,0,0
3279,0,0,0,1
3247,12,1,0,1
3231,24,0,0,1
3369,0,0,0,1
3284,0,0,0,1
3337,4,0,0,0
3352,52,0,0,0
3326,12,1,0,1
3260,4,1,0,0
3277,0,1,0,0
3284,4,1,0,0
3324,52,1,0,1
3213,0,1,0,0
3280,4,1,0,1
3382,24,1,0,0
3302,0,1,0,0
3213,4,0,0,1
3224,12,1,0,1
3237,24,0,0,0
3241,4,0,0,1
3321,0,1,0,0
3247,4,0,0,0
3347,0,0,0,1
3244,52,0,0,1
3319,24,0,0,1
3296,52,0,0,1
3258,4,1,0,0
3306,52,0,0,0
3306,52,0,0,1
3275,52,0,0,1
3272,4,1,0,1
3209,12,0,0,1
3340,12,0,0,1
3386,0,1,0,0
3355,24,1,0,0
3348,24,1,0,1
3264,52,0,0,1
3334,0,0,0,0
3272,12,1,0,0
3194,24,1,0,1
3373,12,1,0,0
3281,24,0,0,1
3211,4,0,0,0
3297,24,0,0,0
3234,24,1,0,1
3269,4,1,0,1
3232,12,0,0,1
3331,24,0,0,1
3377,52,1,0,0
3261,52,0,0,1
3332,4,0,0,1
3370,12,0,0,1
3331,0,0,0,0
3351,12,1,0,1
3264,4,0,0,0
3267,52,1,0,0
3264,52,0,0,0
3221,4,1,0,0
3255,0,0,0,0
3317,52,1,0,0
3234,52,1,0,0
3235,24,0,0,0
3337,24,1,0,1
3240,12,0,0,0
3305,24,1,0,1
3218,52,1,0,1
3314,0,1,0,1
3204,52,1,0,1
3225,52,1,0,0
3243,24,1,0,0
3258,4,0,0,1
3224,52,1,0,1
3219,12,1,0,1
3312,12,1,0,1
3277,12,0,0,1
3332,52,1,0,0
3246,24,0,0,0
3240,24,1,0,1
3221,12,1,0,1
3214,24,0,1,0
3226,12,0,1,1
3238,52,0,0,1
3260,12,1,0,1
3363,4,0,0,0
3363,24,1,0,0
3377,4,0,1,0
3371,4,0,0,1
3259,0,1,0,0
3225,12,0,0,1
3301,0,1,0,0
3321,12,0,0,0
3332,52,1,0,1
3206,52,1,0,1
3322,4,0,0,1
3278,52,1,0,0
3326,52,0,0,0
3314,12,0,0,1
3371,24,1,0,0
3199,24,1,0,0
3235,0,0,0,0
3335,52,1,0,0
3333,52,1,0,0
3267,12,0,0,1
3201,24,1,0,1
3214,52,0,0,1
3286,52,1,1,0
3281,24,0,0,1
3207,12,1,0,1
3310,12,0,0,0
3228,12,1,0,0
3283,0,0,0,0
3276,4,1,0,1
3268,24,0,0,1
3311,4,0,0,1
3205,4,1,0,0
3249,52,0,0,1
3209,24,1,0,1
3198,0,1,0,0
3212,52,0,0,1
3353,24,1,0,1
3267,0,1,0,0
3230,24,0,0,0
3318,4,1,0,1
3236,0,1,1,1
3370,24,1,0,0
3225,4,1,0,1
3224,4,1,0,0
3271,12,0,0,0
3261,4,0,0,0
3380,0,0,0,1
3366,0,0,0,0
3195,12,0,0,0
3350,52,0,0,1
3277,0,1,0,0
3195,4,1,0,1
3386,4,1,0,1
3291,12,1,0,1
3334,12,1,0,1
3265,4,0,0,1
3379,0,0,0,0
3384,52,0,0,1
3372,0,1,0,0
3352,12,1,0,1
3234,12,1,0,0
3271,4,1,0,1
3364,52,0,0,0
3304,4,1,0,1
3272,12,1,0,0
3211,12,0,0,0
3365,4,0,0,1
3370,4,0,0,1
3271,12,1,0,0
3334,4,1,0,0
3294,0,1,0,0
3350,52,1,0,0
3295,4,1,0,1
3236,24,0,1,0
3220,12,0,1,1
3227,24,0,0,0
3241,12,0,0,1
3233,24,0,0,0
3218,4,1,0,0
3268,52,1,0,0
3213,52,1,0,1
3203,24,0,0,1
3368,0,1,0,0
3314,24,1,0,0
3368,0,0,0,1
3204,52,1,0,0
3212,0,0,0,1
3238,52,1,0,1
3195,4,0,0,0
3237,24,1,0,0
3379,4,0,0,0
3366,24,0,0,1
3279,0,1,0,0
3257,4,0,0,0
3303,0,1,0,1
3378,52,0,0,1
3276,12,0,0,0
3254,24,0,0,0
3230,52,0,0,1
3235,4,1,0,1
3351,12,1,0,1
3372,12,0,0,0
3314,4,1,0,0
3206,52,0,0,0
3219,52,0,0,0
3296,52,1,0,0
3323,52,0,0,1
3260,4,1,0,1
3198,52,1,1,0
3269,52,0,0,0
3287,12,0,0,1
3227,12,1,0,1
3279,0,0,0,1
3200,24,0,0,0
3376,12,0,0,1
3289,4,0,0,1
3315,12,1,0,0
3268,0,0,0,0
3222,12,0,0,1
3203,24,0,1,0
3256,12,0,0,0
3298,24,0,0,1
3310,0,0,0,1
3357,12,1,0,1
3352,0,0,0,1
3228,52,1,0,1
3375,4,1,0,1
3251,0,1,0,1
3200,52,0,0,1
3233,0,1,0,1
3340,24,0,0,1
3285,12,1,0,0
3367,4,0,0,0
3288,0,0,0,0
3249,0,0,0,0
3384,24,1,0,1
3275,12,0,0,0
3240,12,0,0,0
3331,4,0,0,0
3326,24,1,0,0
3263,12,0,0,0
3325,24,1,1,1
3248,4,0,0,0
3220,52,0,1,0
3327,4,1,0,0
3328,4,1,0,0
3302,0,0,0,1
3248,24,1,0,1
3196,24,1,0,0
3209,12,1,0,0
3243,52,1,0,1
3362,4,0,0,0
3241,0,0,0,0
3250,12,0,0,0
3369,12,1,0,0
3356,24,1,0,0
3375,24,1,0,0
3193,24,0,0,1
3300,12,0,0,1
3285,0,0,0,0
3382,12,1,0,1
3291,52,0,0,0
3363,12,1,0,1
3289,12,0,0,0
3380,12,0,0,0
3384,52,0,0,0
3197,12,1,0,1
3225,24,1,0,0
3210,52,1,0,1
3286,4,1,0,1
3210,52,1,0,0
3196,4,1,0,0
3347,4,0,0,0
3202,4,0,0,1
3317,4,1,0,0
3243,52,1,0,1
3231,0,1,1,0
3327,52,1,0,0
3201,52,1,0,0
3313,52,1,0,0
3382,24,0,0,0
3376,24,1,0,0
3297,24,0,0,1
3262,24,0,0,0
3203,52,1,0,1
3269,0,0,1,0
3278,52,0,0,1
3246,4,1,0,1
3291,4,0,0,1
3273,12,0,0,1
3205,52,1,1,1
3197,12,1,0,0
3377,4,1,0,1
3193,0,1,0,0
3227,52,0,0,1
3307,0,1,0,1
3288,24,0,0,1
3224,4,1,0,0
3365,4,0,0,1
3222,0,1,0,0
3300,12,1,0,0
3228,4,1,0,1
3218,4,1,0,1
3311,0,1,0,0
3212,52,0,0,0
3252,24,0,0,1
3223,24,0,0,1
3318,24,1,0,1
3340,0,1,0,0
3220,12,1,1,1
3285,52,1,0,1
3375,4,0,0,0
3248,24,1,0,0
3278,24,1,0,0
3246,0,1,0,0
3309,52,0,0,0
3369,12,1,0,1
3229,24,0,1,0
3269,52,1,0,1
3370,12,0,0,0
3315,4,1,0,1
3261,24,0,0,0
3371,24,0,0,1
3226,0,0,0,0
3193,4,0,0,0
3288,4,0,0,0
3212,0,1,0,0
3298,12,1,0,1
3344,12,1,0,0
3317,12,1,0,1
3202,0,1,0,0
3351,4,1,0,0
3195,24,0,0,1
3219,0,1,0,0
3263,4,1,0,1
3204,24,1,0,0
3256,52,1,0,1
3257,52,0,0,0
3311,24,1,0,0
3359,24,0,0,1
3312,12,0,0,0
3297,12,1,0,1
3337,12,1,0,1
3347,0,1,0,1
3214,12,0,0,0
3376,24,0,0,0
3366,0,0,0,0
3206,52,1,0,0
3345,24,1,0,1
3236,0,0,1,1
3301,12,1,0,1
3262,4,0,0,1
3293,0,0,0,1
3380,0,1,0,1
3357,52,0,0,1
3218,12,0,0,0
3259,0,1,0,1
3319,24,0,0,0
3315,0,0,0,1
3296,52,1,0,1
3357,52,0,0,0
3232,12,1,0,1
3250,12,1,0,1
3322,0,0,0,0
3306,12,1,0,1
3300,52,1,0,0
3348,12,0,0,1
3325,0,0,0,1
3362,24,1,0,1
3254,52,0,0,0
3354,0,1,0,1
3194,24,1,0,1
3256,12,1,0,0
3363,4,1,0,1
3361,12,0,1,0
3309,24,1,0,1
3438,24,0,1,1
3491,4,1,0,1
3531,12,1,0,1
3557,52,0,0,1
3448,52,0,0,0
3412,4,1,0,1
3608,4,0,0,0
3574,12,0,0,0
3465,52,1,0,1
3518,52,1,0,1
3662,0,1,0,0
3474,12,1,0,0
3436,12,0,0,0
3565,4,0,0,0
3613,12,1,0,0
3443,24,1,0,1
3450,52,1,0,1
3610,12,0,1,1
3414,52,1,0,1
3509,52,1,0,0
3632,0,0,0,0
3427,12,0,0,1
3451,52,1,1,0
3416,12,0,0,1
3492,4,0,0,0
3448,4,0,0,1
3412,24,0,0,1
3387,24,0,1,1
3624,24,1,1,1
3519,24,1,1,1
3572,24,0,0,1
3444,52,0,0,0
3550,24,0,0,0
3629,0,0,0,0
3567,4,0,0,1
3558,0,0,0,1
3416,12,0,0,0
3421,24,1,0,1
3653,12,1,0,1
3467,12,0,0,1
3466,4,0,0,1
3508,0,0,0,0
3574,12,1,0,1
3442,24,1,0,0
3622,4,0,1,1
3398,0,1,0,1
3394,52,1,0,0
3440,52,0,0,1
3399,4,0,0,1
3498,4,0,0,1
3642,52,0,0,0
3595,0,1,0,1
3584,0,1,0,0
3625,0,0,0,1
3551,0,0,0,1
3645,4,1,0,0
3456,12,0,0,1
3474,4,0,0,0
3419,0,0,0,1
3419,12,1,0,0
3567,52,0,0,1
3533,0,1,0,0
3430,24,1,0,1
3456,24,0,0,0
3575,12,0,0,1
3481,0,0,0,0
3596,12,1,0,1
3652,4,0,0,0
3487,4,0,0,0
3532,24,0,1,0
3410,24,0,1,0
3530,0,1,0,1
3517,4,0,0,0
3423,12,0,0,0
3636,52,1,0,1
3593,4,1,0,0
3431,24,0,0,0
3555,12,1,0,1
3462,52,1,0,1
3507,4,0,0,0
3524,12,1,0,0
3589,12,1,1,1
3547,4,1,0,0
3407,12,0,0,1
3609,24,0,0,1
3573,4,0,0,1
3602,24,1,0,1
3432,24,1,0,1
3582,4,1,1,0
3543,4,1,0,0
3496,4,0,0,0
3394,52,0,0,1
3575,0,0,0,0
3527,0,1,1,0
3593,0,1,1,1
3398,4,0,1,0
3407,12,0,0,0
3588,12,1,0,1
3619,0,1,1,1
3452,12,1,0,0
3503,12,0,0,1
3551,24,1,0,0
3465,12,1,0,0
3496,12,0,0,0
3544,0,1,0,1
3650,0,0,0,0
3433,12,1,0,0
3434,12,1,0,0
3548,4,0,0,0
3515,12,0,0,0
3647,12,1,0,1
3629,52,0,0,1
3655,24,1,0,0
3391,0,0,0,1
3592,0,0,0,1
3515,24,0,0,0
3647,52,0,0,0
3468,0,1,1,0
3482,52,0,0,0
3499,24,0,0,0
3661,24,0,0,1
3537,0,0,0,0
3631,12,1,0,0
3618,24,1,0,1
3544,4,1,0,1
3470,24,1,0,1
3660,12,0,0,1
3434,0,0,0,1
3569,12,0,0,1
3458,4,0,0,1
3438,0,0,0,0
3563,0,0,1,0
3637,0,1,0,1
3454,4,0,0,0
3470,4,0,0,0
3606,4,1,0,1
3532,52,1,1,0
3443,52,0,0,1
3427,52,0,0,0
3625,52,0,0,1
3593,12,1,0,0
3466,4,1,0,0
3476,0,0,0,0
3392,12,1,0,0
3498,12,0,0,1
3389,0,0,0,0
3479,52,0,0,1
3465,24,1,0,1
3437,12,0,0,1
3657,4,0,1,0
3656,12,1,0,1
3571,12,1,0,0
3403,4,0,0,0
3611,0,1,0,1
3466,0,0,0,1
3608,24,1,0,1
3651,52,1,0,1
3646,24,1,0,0
3634,12,0,0,1
3533,24,0,0,1
3437,0,1,0,0
3405,24,0,0,0
3585,0,1,1,0
3526,4,0,0,1
3626,4,0,0,0
3655,0,0,0,0
3588,24,1,0,0
3441,4,1,1,0
3457,24,1,0,1
3644,4,1,0,1
3536,12,1,0,1
3413,0,0,0,0
3610,0,1,0,0
3412,52,1,0,0
3494,24,1,0,1
3525,0,0,0,0
3650,24,1,0,0
3627,0,1,0,0
3449,0,1,0,1
3451,0,0,0,0
3569,12,0,0,0
3420,24,0,0,1
3513,4,1,0,0
3499,4,1,0,1
3488,0,1,0,1
3455,12,0,0,1
3439,4,1,0,1
3497,0,1,0,1
3462,52,1,0,0
3661,24,1,0,0
3578,4,1,0,1
3461,0,1,0,0
3495,12,1,0,1
3579,52,0,0,0
3487,12,1,0,1
3648,24,0,0,1
3436,52,0,0,0
3648,12,1,0,1
3534,4,1,0,0
3431,4,0,0,1
3433,12,0,0,1
3475,52,0,0,0
3593,12,0,1,1
3549,52,1,0,1
3590,12,1,0,0
3458,12,1,0,0
3624,4,1,0,0
3397,4,0,0,0
3416,0,1,0,1
3557,4,1,0,1
3507,4,0,1,1
3644,4,1,0,0
3480,4,1,1,1
3582,52,1,0,0
3429,24,1,0,1
3437,4,0,0,1
3659,24,1,0,0
3558,24,0,1,0
3599,12,1,0,0
3569,52,0,0,0
3641,4,1,1,0
3628,0,0,0,0
3448,24,1,0,1
3452,52,0,0,0
3520,0,0,0,1
3436,12,1,1,1
3390,24,0,0,1
3423,4,1,0,1
3554,24,0,0,1
3616,24,1,0,0
3534,0,1,0,1
3618,4,1,1,0
3556,12,1,0,1
3469,12,1,0,1
3621,24,0,0,1
3491,0,1,0,1
3658,52,1,0,1
3537,24,0,0,1
3391,0,0,0,0
3548,52,1,0,0
3570,52,1,0,0
3443,4,0,0,0
3505,4,0,0,1
3571,4,0,0,1
3512,0,1,0,0
3421,24,0,0,0
3415,12,0,0,0
3453,4,0,0,1
3410,52,1,0,1
3469,24,0,0,0
3643,24,0,0,1
3464,0,0,0,1
3547,0,0,0,1
3492,52,0,0,0
3470,24,0,0,0
3560,12,1,1,0
3627,24,1,0,1
3538,4,0,0,0
3402,4,0,0,1
3407,4,0,0,1
3485,12,1,1,0
3629,0,0,0,1
3511,0,1,0,0
3540,52,1,0,0
3545,4,0,0,1
3606,12,0,0,1
3440,52,1,0,1
3522,4,1,0,1
3529,52,1,0,0
3453,0,0,0,0
3505,4,0,0,0
3520,12,1,0,0
3566,24,0,0,1
3637,4,0,0,0
3396,12,0,0,1
3589,52,0,0,1
3447,0,1,0,1
3553,0,1,0,0
3409,4,1,0,0
3405,0,1,0,0
3542,12,0,0,0
3631,4,1,0,0
3643,12,1,0,0
3483,52,1,0,1
3573,12,0,0,1
3528,24,0,0,1
3602,12,0,0,0
3490,12,1,1,1
3563,24,1,0,1
3514,12,1,1,1
3406,52,1,0,1
3494,4,0,0,1
3399,4,1,0,0
3472,52,0,1,1
3561,12,0,0,1
3439,12,0,0,0
3576,52,0,0,0
3425,4,1,0,1
3479,12,1,0,1
3459,24,1,0,1
3612,0,1,0,0
3501,12,1,0,1
3475,52,1,0,1
3557,52,1,0,0
3524,4,1,0,0
3450,24,0,0,0
3649,24,0,0,1
3600,52,0,1,1
3450,24,1,0,0
3640,52,1,0,0
3568,0,0,0,0
3444,4,1,0,1
3430,52,0,0,1
3403,4,1,1,1
3560,52,1,0,1
3449,52,0,0,0
3465,24,0,0,0
3587,24,0,0,0
3660,4,0,0,1
3443,52,0,0,0
3485,12,0,0,1
3632,0,0,0,0
3655,4,0,0,1
3633,12,0,0,1
3582,52,1,0,1
3477,4,1,0,0
3636,52,1,0,0
3563,12,1,0,0
3641,52,0,0,0
3508,24,0,0,1
3601,0,1,0,0
3599,12,1,0,1
