"country","year","democracy","income","sample"
"Andorra","1950-1954",NA,NA,0
"Andorra","1955-1959",NA,NA,0
"Andorra","1960-1964",NA,NA,1
"Andorra","1965-1969",NA,NA,1
"Andorra","1970-1974",0.5,NA,1
"Andorra","1975-1979",NA,NA,1
"Andorra","1980-1984",NA,NA,1
"Andorra","1985-1989",NA,NA,1
"Andorra","1990-1994",NA,NA,1
"Andorra","1995-1999",1,NA,1
"Andorra","2000-2004",1,NA,1
"Afghanistan","1950-1954",0.12,NA,0
"Afghanistan","1955-1959",0.11,NA,0
"Afghanistan","1960-1964",0.14,NA,1
"Afghanistan","1965-1969",0.23,NA,1
"Afghanistan","1970-1974",0.5,NA,1
"Afghanistan","1975-1979",0,NA,1
"Afghanistan","1980-1984",0,NA,1
"Afghanistan","1985-1989",0,NA,1
"Afghanistan","1990-1994",0,NA,1
"Afghanistan","1995-1999",0,NA,1
"Afghanistan","2000-2004",0,NA,1
"Angola","1950-1954",NA,NA,0
"Angola","1955-1959",NA,NA,0
"Angola","1960-1964",NA,7.812518,0
"Angola","1965-1969",0.12,7.963571,0
"Angola","1970-1974",NA,8.11033,0
"Angola","1975-1979",0.1666667,7.642973,0
"Angola","1980-1984",0,7.563512,1
"Angola","1985-1989",0,7.528483,1
"Angola","1990-1994",0,7.57377,1
"Angola","1995-1999",0.1666667,7.132994,1
"Angola","2000-2004",0.1666667,NA,1
"Albania","1950-1954",0.24,NA,0
"Albania","1955-1959",0.24,NA,0
"Albania","1960-1964",0.2,NA,1
"Albania","1965-1969",0.18,NA,1
"Albania","1970-1974",0,NA,1
"Albania","1975-1979",0,NA,1
"Albania","1980-1984",0,NA,1
"Albania","1985-1989",0,NA,1
"Albania","1990-1994",0,NA,1
"Albania","1995-1999",0.6666667,7.947575,1
"Albania","2000-2004",0.5,8.1156,1
"United Arab Emirates","1950-1954",NA,NA,0
"United Arab Emirates","1955-1959",NA,NA,0
"United Arab Emirates","1960-1964",NA,NA,0
"United Arab Emirates","1965-1969",NA,NA,0
"United Arab Emirates","1970-1974",0,NA,0
"United Arab Emirates","1975-1979",0.1666667,NA,0
"United Arab Emirates","1980-1984",0.3333333,NA,1
"United Arab Emirates","1985-1989",0.3333333,NA,1
"United Arab Emirates","1990-1994",0.1666667,NA,1
"United Arab Emirates","1995-1999",0.1666667,NA,1
"United Arab Emirates","2000-2004",0.1666667,NA,1
"Argentina","1950-1954",0.49,8.768732,0
"Argentina","1955-1959",0.3,8.833524,0
"Argentina","1960-1964",0.63,8.905374,1
"Argentina","1965-1969",0.53,9.01616,1
"Argentina","1970-1974",0.1666667,9.13399,1
"Argentina","1975-1979",0.8333333,9.20284,1
"Argentina","1980-1984",0.1666667,9.271142,1
"Argentina","1985-1989",0.8333333,9.065316,1
"Argentina","1990-1994",1,8.884429,1
"Argentina","1995-1999",0.8333333,9.236609,1
"Argentina","2000-2004",1,9.306237,1
"Armenia","1950-1954",NA,NA,0
"Armenia","1955-1959",NA,NA,0
"Armenia","1960-1964",NA,NA,0
"Armenia","1965-1969",NA,NA,0
"Armenia","1970-1974",NA,NA,0
"Armenia","1975-1979",NA,NA,0
"Armenia","1980-1984",NA,NA,0
"Armenia","1985-1989",NA,NA,0
"Armenia","1990-1994",NA,NA,0
"Armenia","1995-1999",0.5,7.735623,0
"Armenia","2000-2004",0.5,7.934454,1
"Antigua","1950-1954",NA,NA,0
"Antigua","1955-1959",NA,NA,0
"Antigua","1960-1964",NA,NA,0
"Antigua","1965-1969",NA,NA,0
"Antigua","1970-1974",NA,NA,0
"Antigua","1975-1979",NA,NA,0
"Antigua","1980-1984",NA,8.995663,0
"Antigua","1985-1989",0.8333333,9.256453,0
"Antigua","1990-1994",0.6666667,9.47458,1
"Antigua","1995-1999",0.5,9.431346,1
"Antigua","2000-2004",0.5,9.722494,1
"Australia","1950-1954",0.99,9.124109,0
"Australia","1955-1959",1,9.200232,0
"Australia","1960-1964",1,9.277876,1
"Australia","1965-1969",1,9.420744,1
"Australia","1970-1974",1,9.603759,1
"Australia","1975-1979",1,9.657485,1
"Australia","1980-1984",1,9.748026,1
"Australia","1985-1989",1,9.820157,1
"Australia","1990-1994",1,9.906652,1
"Australia","1995-1999",1,10.01196,1
"Australia","2000-2004",1,10.14875,1
"Austria","1950-1954",NA,8.346102,0
"Austria","1955-1959",NA,8.622914,0
"Austria","1960-1964",0.97,8.900677,1
"Austria","1965-1969",0.97,9.080444,1
"Austria","1970-1974",1,9.321485,1
"Austria","1975-1979",1,9.49425,1
"Austria","1980-1984",1,9.666615,1
"Austria","1985-1989",1,9.726995,1
"Austria","1990-1994",1,9.894085,1
"Austria","1995-1999",1,9.953502,1
"Austria","2000-2004",1,10.07224,1
"Azerbaijan","1950-1954",NA,NA,0
"Azerbaijan","1955-1959",NA,NA,0
"Azerbaijan","1960-1964",NA,NA,0
"Azerbaijan","1965-1969",NA,NA,0
"Azerbaijan","1970-1974",NA,NA,0
"Azerbaijan","1975-1979",NA,NA,0
"Azerbaijan","1980-1984",NA,NA,0
"Azerbaijan","1985-1989",NA,NA,0
"Azerbaijan","1990-1994",NA,NA,0
"Azerbaijan","1995-1999",0.1666667,7.683833,0
"Azerbaijan","2000-2004",0.1666667,7.936543,1
"Baden","1950-1954",NA,NA,0
"Baden","1955-1959",NA,NA,0
"Baden","1960-1964",NA,NA,0
"Baden","1965-1969",NA,NA,0
"Baden","1970-1974",NA,NA,0
"Baden","1975-1979",NA,NA,0
"Baden","1980-1984",NA,NA,0
"Baden","1985-1989",NA,NA,0
"Baden","1990-1994",NA,NA,0
"Baden","1995-1999",NA,NA,0
"Baden","2000-2004",NA,NA,0
"Bavaria","1950-1954",NA,NA,0
"Bavaria","1955-1959",NA,NA,0
"Bavaria","1960-1964",NA,NA,0
"Bavaria","1965-1969",NA,NA,0
"Bavaria","1970-1974",NA,NA,0
"Bavaria","1975-1979",NA,NA,0
"Bavaria","1980-1984",NA,NA,0
"Bavaria","1985-1989",NA,NA,0
"Bavaria","1990-1994",NA,NA,0
"Bavaria","1995-1999",NA,NA,0
"Bavaria","2000-2004",NA,NA,0
"Burundi","1950-1954",NA,NA,0
"Burundi","1955-1959",NA,NA,0
"Burundi","1960-1964",0.31,6.283445,0
"Burundi","1965-1969",0.58,6.400949,0
"Burundi","1970-1974",0,6.743066,1
"Burundi","1975-1979",0,6.644792,1
"Burundi","1980-1984",0,6.623969,1
"Burundi","1985-1989",0,6.609796,1
"Burundi","1990-1994",0,6.719303,1
"Burundi","1995-1999",0.1666667,6.541517,1
"Burundi","2000-2004",0.1666667,6.25998,1
"Belgium","1950-1954",1,8.716015,0
"Belgium","1955-1959",1,8.856646,0
"Belgium","1960-1964",1,8.95908,1
"Belgium","1965-1969",1,9.188131,1
"Belgium","1970-1974",1,9.404516,1
"Belgium","1975-1979",1,9.550781,1
"Belgium","1980-1984",1,9.700546,1
"Belgium","1985-1989",1,9.737533,1
"Belgium","1990-1994",1,9.897312,1
"Belgium","1995-1999",1,9.948232,1
"Belgium","2000-2004",1,10.07665,1
"Benin","1950-1954",NA,NA,0
"Benin","1955-1959",NA,NA,0
"Benin","1960-1964",0.55,6.972244,0
"Benin","1965-1969",0.25,7.013138,1
"Benin","1970-1974",0,6.997882,1
"Benin","1975-1979",0,6.887999,1
"Benin","1980-1984",0,6.907778,1
"Benin","1985-1989",0,7.066224,1
"Benin","1990-1994",0.1666667,6.90776,1
"Benin","1995-1999",0.8333333,6.971512,1
"Benin","2000-2004",0.8333333,7.101663,1
"Burkina Faso","1950-1954",NA,NA,0
"Burkina Faso","1955-1959",NA,NA,0
"Burkina Faso","1960-1964",0.14,6.626073,0
"Burkina Faso","1965-1969",0.07,6.438499,1
"Burkina Faso","1970-1974",0.6666667,6.50586,1
"Burkina Faso","1975-1979",0.1666667,6.581646,1
"Burkina Faso","1980-1984",0.1666667,6.639576,1
"Burkina Faso","1985-1989",0,6.71311,1
"Burkina Faso","1990-1994",0.1666667,6.739776,1
"Burkina Faso","1995-1999",0.3333333,6.770059,1
"Burkina Faso","2000-2004",0.5,6.863626,1
"Bangladesh","1950-1954",NA,NA,0
"Bangladesh","1955-1959",NA,NA,0
"Bangladesh","1960-1964",NA,6.963459,0
"Bangladesh","1965-1969",NA,6.993114,0
"Bangladesh","1970-1974",0.8333333,7.007203,0
"Bangladesh","1975-1979",0,6.870495,0
"Bangladesh","1980-1984",0.6666667,6.880692,1
"Bangladesh","1985-1989",0.3333333,7.060115,1
"Bangladesh","1990-1994",0.3333333,7.153151,1
"Bangladesh","1995-1999",0.6666667,7.291024,1
"Bangladesh","2000-2004",0.6666667,7.428857,1
"Bulgaria","1950-1954",0.23,NA,0
"Bulgaria","1955-1959",0.3,NA,0
"Bulgaria","1960-1964",0.23,NA,1
"Bulgaria","1965-1969",0.37,NA,1
"Bulgaria","1970-1974",0,NA,1
"Bulgaria","1975-1979",0,NA,1
"Bulgaria","1980-1984",0,NA,1
"Bulgaria","1985-1989",0,NA,1
"Bulgaria","1990-1994",0.6666667,NA,1
"Bulgaria","1995-1999",0.8333333,8.818811,1
"Bulgaria","2000-2004",0.8333333,8.663001,1
"Bahrain","1950-1954",NA,NA,0
"Bahrain","1955-1959",NA,NA,0
"Bahrain","1960-1964",NA,NA,0
"Bahrain","1965-1969",NA,NA,0
"Bahrain","1970-1974",0.1666667,NA,0
"Bahrain","1975-1979",0.1666667,NA,0
"Bahrain","1980-1984",0.3333333,NA,1
"Bahrain","1985-1989",0.3333333,NA,1
"Bahrain","1990-1994",0.1666667,NA,1
"Bahrain","1995-1999",0.1666667,NA,1
"Bahrain","2000-2004",0,NA,1
"Bahamas","1950-1954",NA,NA,0
"Bahamas","1955-1959",NA,NA,0
"Bahamas","1960-1964",NA,NA,0
"Bahamas","1965-1969",NA,NA,0
"Bahamas","1970-1974",NA,NA,0
"Bahamas","1975-1979",1,NA,0
"Bahamas","1980-1984",1,NA,1
"Bahamas","1985-1989",0.8333333,NA,1
"Bahamas","1990-1994",0.8333333,NA,1
"Bahamas","1995-1999",1,NA,1
"Bahamas","2000-2004",1,NA,1
"Bosnia and Herzegovina","1950-1954",NA,NA,0
"Bosnia and Herzegovina","1955-1959",NA,NA,0
"Bosnia and Herzegovina","1960-1964",NA,NA,0
"Bosnia and Herzegovina","1965-1969",NA,NA,0
"Bosnia and Herzegovina","1970-1974",NA,NA,0
"Bosnia and Herzegovina","1975-1979",NA,NA,0
"Bosnia and Herzegovina","1980-1984",NA,NA,0
"Bosnia and Herzegovina","1985-1989",NA,NA,0
"Bosnia and Herzegovina","1990-1994",NA,NA,0
"Bosnia and Herzegovina","1995-1999",0.1666667,NA,0
"Bosnia and Herzegovina","2000-2004",0.3333333,NA,1
"Belarus","1950-1954",NA,NA,0
"Belarus","1955-1959",NA,NA,0
"Belarus","1960-1964",NA,NA,0
"Belarus","1965-1969",NA,NA,0
"Belarus","1970-1974",NA,NA,0
"Belarus","1975-1979",NA,NA,0
"Belarus","1980-1984",NA,NA,0
"Belarus","1985-1989",NA,NA,0
"Belarus","1990-1994",NA,9.103862,0
"Belarus","1995-1999",0.3333333,8.616843,0
"Belarus","2000-2004",0.1666667,9.03808,1
"Belize","1950-1954",NA,NA,0
"Belize","1955-1959",NA,NA,0
"Belize","1960-1964",NA,NA,0
"Belize","1965-1969",NA,NA,0
"Belize","1970-1974",NA,NA,0
"Belize","1975-1979",NA,NA,0
"Belize","1980-1984",NA,8.448585,0
"Belize","1985-1989",1,8.390313,0
"Belize","1990-1994",1,8.638631,1
"Belize","1995-1999",1,8.735215,1
"Belize","2000-2004",1,8.79349,1
"Bolivia","1950-1954",0.68,7.919169,0
"Bolivia","1955-1959",0.41,7.869213,0
"Bolivia","1960-1964",0.6,7.763807,1
"Bolivia","1965-1969",0.36,7.898943,1
"Bolivia","1970-1974",0.3333333,7.823202,1
"Bolivia","1975-1979",0.1666667,7.980182,1
"Bolivia","1980-1984",0,8.023971,1
"Bolivia","1985-1989",0.8333333,7.840896,1
"Bolivia","1990-1994",0.8333333,7.802203,1
"Bolivia","1995-1999",0.8333333,7.868782,1
"Bolivia","2000-2004",1,7.909896,1
"Brazil","1950-1954",0.83,7.411589,0
"Brazil","1955-1959",0.89,7.583867,0
"Brazil","1960-1964",0.91,7.771254,1
"Brazil","1965-1969",0.61,7.952501,1
"Brazil","1970-1974",0.3333333,8.194207,1
"Brazil","1975-1979",0.5,8.54979,1
"Brazil","1980-1984",0.5,8.760891,1
"Brazil","1985-1989",0.6666667,8.724344,1
"Brazil","1990-1994",0.8333333,8.735161,1
"Brazil","1995-1999",0.8333333,8.819525,1
"Brazil","2000-2004",0.6666667,8.880447,1
"Barbados","1950-1954",NA,NA,0
"Barbados","1955-1959",NA,NA,0
"Barbados","1960-1964",NA,8.130892,0
"Barbados","1965-1969",1,8.374012,0
"Barbados","1970-1974",1,8.706109,0
"Barbados","1975-1979",1,9.018889,1
"Barbados","1980-1984",1,9.230895,1
"Barbados","1985-1989",1,9.247156,1
"Barbados","1990-1994",1,9.509151,1
"Barbados","1995-1999",1,9.524599,1
"Barbados","2000-2004",1,9.705969,1
"Brunei","1950-1954",NA,NA,0
"Brunei","1955-1959",NA,NA,0
"Brunei","1960-1964",NA,NA,0
"Brunei","1965-1969",NA,NA,0
"Brunei","1970-1974",0.1666667,NA,0
"Brunei","1975-1979",0.1666667,NA,0
"Brunei","1980-1984",0.1666667,NA,0
"Brunei","1985-1989",0.1666667,NA,0
"Brunei","1990-1994",0.1666667,NA,1
"Brunei","1995-1999",0,NA,1
"Brunei","2000-2004",0,NA,1
"Bhutan","1950-1954",NA,NA,0
"Bhutan","1955-1959",NA,NA,0
"Bhutan","1960-1964",NA,NA,1
"Bhutan","1965-1969",NA,NA,1
"Bhutan","1970-1974",0.5,NA,1
"Bhutan","1975-1979",0.5,NA,1
"Bhutan","1980-1984",0.3333333,NA,1
"Bhutan","1985-1989",0.3333333,NA,1
"Bhutan","1990-1994",0.1666667,NA,1
"Bhutan","1995-1999",0,NA,1
"Bhutan","2000-2004",0,NA,1
"Botswana","1950-1954",NA,NA,0
"Botswana","1955-1959",NA,NA,0
"Botswana","1960-1964",NA,6.864856,0
"Botswana","1965-1969",NA,6.888062,0
"Botswana","1970-1974",0.6666667,7.08392,0
"Botswana","1975-1979",0.8333333,7.704757,1
"Botswana","1980-1984",0.8333333,8.141397,1
"Botswana","1985-1989",0.8333333,8.322673,1
"Botswana","1990-1994",1,8.598033,1
"Botswana","1995-1999",0.8333333,8.680874,1
"Botswana","2000-2004",0.8333333,NA,1
"Central African Republic","1950-1954",NA,NA,0
"Central African Republic","1955-1959",NA,NA,0
"Central African Republic","1960-1964",0.65,7.685929,0
"Central African Republic","1965-1969",0.34,7.661548,1
"Central African Republic","1970-1974",0,7.714268,1
"Central African Republic","1975-1979",0,7.544977,1
"Central African Republic","1980-1984",0,7.493813,1
"Central African Republic","1985-1989",0,7.350046,1
"Central African Republic","1990-1994",0.1666667,7.231359,1
"Central African Republic","1995-1999",0.6666667,6.997157,1
"Central African Republic","2000-2004",0.6666667,NA,1
"Canada","1950-1954",0.99,9.115211,0
"Canada","1955-1959",1,9.205848,0
"Canada","1960-1964",1,9.247975,1
"Canada","1965-1969",1,9.429002,1
"Canada","1970-1974",1,9.554069,1
"Canada","1975-1979",1,9.719351,1
"Canada","1980-1984",1,9.851376,1
"Canada","1985-1989",1,9.937892,1
"Canada","1990-1994",1,10.01457,1
"Canada","1995-1999",1,10.04093,1
"Canada","2000-2004",1,10.20005,1
"Switzerland","1950-1954",1,9.254487,0
"Switzerland","1955-1959",0.99,9.446556,0
"Switzerland","1960-1964",1,9.614354,1
"Switzerland","1965-1969",1,9.781814,1
"Switzerland","1970-1974",1,9.933574,1
"Switzerland","1975-1979",1,9.923444,1
"Switzerland","1980-1984",1,10.01333,1
"Switzerland","1985-1989",1,10.05375,1
"Switzerland","1990-1994",1,10.17087,1
"Switzerland","1995-1999",1,10.1079,1
"Switzerland","2000-2004",1,10.18164,1
"Chile","1950-1954",0.83,NA,0
"Chile","1955-1959",0.82,8.169785,0
"Chile","1960-1964",1,8.256587,1
"Chile","1965-1969",0.97,8.318665,1
"Chile","1970-1974",1,8.475132,1
"Chile","1975-1979",0,8.336102,1
"Chile","1980-1984",0.1666667,8.59636,1
"Chile","1985-1989",0.1666667,8.514451,1
"Chile","1990-1994",0.8333333,8.723846,1
"Chile","1995-1999",0.8333333,9.046407,1
"Chile","2000-2004",0.8333333,9.202866,1
"China","1950-1954",0.24,NA,0
"China","1955-1959",NA,6.431236,0
"China","1960-1964",0.23,6.524397,1
"China","1965-1969",0.16,6.643185,1
"China","1970-1974",0,6.702918,1
"China","1975-1979",0,6.810732,1
"China","1980-1984",0.1666667,6.974238,1
"China","1985-1989",0.1666667,7.29593,1
"China","1990-1994",0,7.48804,1
"China","1995-1999",0,7.943825,1
"China","2000-2004",0,8.22879,1
"Cote d'Ivoire","1950-1954",NA,NA,0
"Cote d'Ivoire","1955-1959",NA,NA,0
"Cote d'Ivoire","1960-1964",0.43,7.395059,0
"Cote d'Ivoire","1965-1969",0.41,7.517912,1
"Cote d'Ivoire","1970-1974",0.1666667,7.779274,1
"Cote d'Ivoire","1975-1979",0.1666667,7.91229,1
"Cote d'Ivoire","1980-1984",0.1666667,7.834884,1
"Cote d'Ivoire","1985-1989",0.1666667,7.750678,1
"Cote d'Ivoire","1990-1994",0.1666667,7.660792,1
"Cote d'Ivoire","1995-1999",0.1666667,7.564293,1
"Cote d'Ivoire","2000-2004",0.1666667,7.533251,1
"Cameroon","1950-1954",NA,NA,0
"Cameroon","1955-1959",NA,NA,0
"Cameroon","1960-1964",0.73,7.426562,0
"Cameroon","1965-1969",0.56,7.43674,1
"Cameroon","1970-1974",0.1666667,7.365277,1
"Cameroon","1975-1979",0.1666667,7.550082,1
"Cameroon","1980-1984",0.1666667,7.662082,1
"Cameroon","1985-1989",0.1666667,7.935494,1
"Cameroon","1990-1994",0.1666667,7.725914,1
"Cameroon","1995-1999",0,7.525447,1
"Cameroon","2000-2004",0,7.62151,1
"Congo, Rep.","1950-1954",NA,NA,0
"Congo, Rep.","1955-1959",NA,NA,0
"Congo, Rep.","1960-1964",0.71,6.200138,0
"Congo, Rep.","1965-1969",0.46,6.680865,1
"Congo, Rep.","1970-1974",0,6.83407,1
"Congo, Rep.","1975-1979",0.3333333,7.08902,1
"Congo, Rep.","1980-1984",0,7.354609,1
"Congo, Rep.","1985-1989",0,7.680787,1
"Congo, Rep.","1990-1994",0.1666667,7.646156,1
"Congo, Rep.","1995-1999",0.5,7.473289,1
"Congo, Rep.","2000-2004",0.1666667,7.500045,1
"Colombia","1950-1954",0.6,7.69963,0
"Colombia","1955-1959",NA,7.82476,0
"Colombia","1960-1964",0.7,7.83598,1
"Colombia","1965-1969",0.71,7.917769,1
"Colombia","1970-1974",0.8333333,8.058127,1
"Colombia","1975-1979",0.8333333,8.220092,1
"Colombia","1980-1984",0.8333333,8.369085,1
"Colombia","1985-1989",0.8333333,8.377017,1
"Colombia","1990-1994",0.6666667,8.504004,1
"Colombia","1995-1999",0.5,8.608838,1
"Colombia","2000-2004",0.5,8.591086,1
"Comoros","1950-1954",NA,NA,0
"Comoros","1955-1959",NA,NA,0
"Comoros","1960-1964",NA,7.563939,0
"Comoros","1965-1969",NA,7.698801,0
"Comoros","1970-1974",NA,7.763431,0
"Comoros","1975-1979",0.3333333,7.773191,0
"Comoros","1980-1984",0.5,7.63765,1
"Comoros","1985-1989",0.1666667,7.723227,1
"Comoros","1990-1994",0.3333333,7.676051,1
"Comoros","1995-1999",0.5,7.417264,1
"Comoros","2000-2004",0.1666667,7.363977,1
"Cape Verde","1950-1954",NA,NA,0
"Cape Verde","1955-1959",NA,NA,0
"Cape Verde","1960-1964",NA,6.902211,0
"Cape Verde","1965-1969",NA,6.851697,0
"Cape Verde","1970-1974",NA,7.234652,0
"Cape Verde","1975-1979",0.3333333,7.070885,0
"Cape Verde","1980-1984",0.1666667,7.571468,1
"Cape Verde","1985-1989",0.1666667,7.835604,1
"Cape Verde","1990-1994",0.3333333,7.976821,1
"Cape Verde","1995-1999",1,8.063305,1
"Cape Verde","2000-2004",1,8.300804,1
"Costa Rica","1950-1954",0.84,7.817067,0
"Costa Rica","1955-1959",0.9,8.081528,0
"Costa Rica","1960-1964",0.91,8.153575,1
"Costa Rica","1965-1969",0.9,8.222897,1
"Costa Rica","1970-1974",1,8.33831,1
"Costa Rica","1975-1979",1,8.483473,1
"Costa Rica","1980-1984",1,8.597603,1
"Costa Rica","1985-1989",1,8.443103,1
"Costa Rica","1990-1994",1,8.503364,1
"Costa Rica","1995-1999",1,8.581841,1
"Costa Rica","2000-2004",1,8.677622,1
"Cuba","1950-1954",0.93,NA,0
"Cuba","1955-1959",0.38,NA,0
"Cuba","1960-1964",0.14,NA,1
"Cuba","1965-1969",0.05,NA,1
"Cuba","1970-1974",0,NA,1
