"id","year","output","pfuel","plab","pcap","expfuel","explab","expcap"
"cp&l",1966,5714,0.182,5.9663,0.02506,12578,12392,20865
"cp&l",1967,6200,0.185,6.0033,0.02517,13705,12553,21573
"cp&l",1968,6938,0.186,6.4609,0.02768,15161,13794,25547
"cp&l",1969,7846,0.187,6.7314,0.0286,17201,14661,28140
"cp&l",1970,8169,0.2,7.1181,0.03197,18937,16030,33262
"cp&l",1971,8982,0.21,7.749,0.03368,21411,18218,37772
"cp&l",1972,9839,0.235,8.3449,0.03572,25526,20036,43500
"cp&l",1973,10506,0.341,8.9069,0.03565,39432,21724,45437
"cp&l",1974,10590,0.825,9.8235,0.04213,93120,23989,58036
"cp&l",1975,9783,1.442,11.639,0.04816,141793,26921,69083
"cp&l",1976,10395,1.826,12.8065,0.05071,193167,28661,76819
"cp&l",1977,12427,1.954,13.8794,0.04537,247401,30382,69912
"cp&l",1978,13394,2.101,14.6606,0.05224,283254,32180,81380
"cp&l",1979,13668,2.193,14.909,0.05922,304999,35066,93997
"cp&l",1980,14683,2.428,15.8998,0.07043,379441,38239,128568
"cp&l",1981,15573,2.975,18.1787,0.07958,476742,44865,148713
"cp&l",1982,15337,3.501,20.7588,0.08527,546314,53018,162761
"cp&l",1983,15596,3.271,22.5451,0.09337,549823,58527,185286
"dp&l",1966,5575,0.197,5.9169,0.0258,11650,11467,21609
"dp&l",1967,6170,0.203,5.9361,0.02728,13304,12068,26036
"dp&l",1968,6718,0.208,6.1518,0.0279,14913,12925,27869
"dp&l",1969,7801,0.221,6.5261,0.02873,19019,14488,30207
"dp&l",1970,8372,0.231,7.1177,0.03056,20906,16563,34590
"dp&l",1971,8831,0.249,7.8417,0.03097,23450,18475,37831
"dp&l",1972,9937,0.279,8.5415,0.03396,29994,20192,43830
"dp&l",1973,10674,0.29,9.3409,0.03819,35307,22194,53744
"dp&l",1974,10200,0.425,9.8758,0.03969,51749,23613,57777
"dp&l",1975,10691,0.743,11.1147,0.04275,85499,25486,63808
"dp&l",1976,11526,1.065,13.3925,0.04551,128059,29035,68810
"dp&l",1977,12410,1.296,14.2025,0.04709,165618,31416,74180
"dp&l",1978,12101,1.321,15.8942,0.05206,165940,35889,84305
"dp&l",1979,11856,1.378,18.1036,0.05535,174651,43159,94164
"dp&l",1980,12847,1.461,20.134,0.05977,210508,49147,103929
"dp&l",1981,12625,1.876,22.9052,0.06145,267010,56072,109536
"dp&l",1982,12971,2.268,25.6804,0.0699,323391,63713,127482
"dp&l",1983,13426,2.33,28.5864,0.07709,338814,68636,143685
"epec",1966,1810,0.274,6.233,0.02279,5321,3665,6471.6
"epec",1967,1945,0.261,6.4,0.02306,5459,3808,6669.1
"epec",1968,2170,0.25,6.851,0.02423,5827,4138,7193.6
"epec",1969,2461,0.247,7.1594,0.02806,6526,4446,9474.3
"epec",1970,2506,0.272,7.4062,0.02871,7344,4540,9908.2
"epec",1971,2662,0.308,7.8315,0.02985,9209,4879,10753.7
"epec",1972,2963,0.329,8.1172,0.03323,10319,5195,13179.7
"epec",1973,3269,0.443,8.3808,0.03409,17025,5766,13895
"epec",1974,3356,0.685,9.2559,0.03017,24960,6618,12554
"epec",1975,3449,1.276,9.8152,0.04048,44963,7489,18906.9
"epec",1976,3552,1.645,12.2591,0.05029,53942,9746,23920.2
"epec",1977,3472,1.76,12.9635,0.04815,57495,10656,23399.7
"epec",1978,3589,2.209,13.8735,0.05597,71337,12389,28507.5
"epec",1979,3652,2.185,15.0994,0.05254,78139,14284,27168.2
"epec",1980,3987,2.509,17.2069,0.06541,94641,16553,35076.3
"epec",1981,3954,2.987,18.987,0.07688,110113,19025,41914
"epec",1982,3944,3.661,21.035,0.07373,125722,22823,41405
"epec",1983,4040,3.806,29.8043,0.07318,115563,31533,41725
"gsu",1966,10777,0.201,5.4199,0.02524,24518,14070,37325
"gsu",1967,11901,0.204,5.5337,0.02639,26269,14714,42132
"gsu",1968,13694,0.203,5.7067,0.02633,31488,15528,47095
"gsu",1969,15700,0.203,5.9393,0.02996,34901,16541,56880
"gsu",1970,16807,0.204,6.2885,0.03163,36071,17916,67552
"gsu",1971,18267,0.206,6.7041,0.03433,42933,19556,78775
"gsu",1972,20329,0.228,7.2139,0.03794,51806,21144,88977
"gsu",1973,21344,0.365,7.5289,0.03766,86273,22662,95306
"gsu",1974,21736,0.598,8.157,0.04311,140229,24577,114484
"gsu",1975,21622,0.533,8.8072,0.04749,128969,25849,128080
"gsu",1976,23919,0.7,10.4052,0.05163,189173,29426,146673
"gsu",1977,26763,0.951,12.9903,0.05391,285666,34892,158968
"gsu",1978,29200,1.033,13.8172,0.05706,368901,43303,170399
"gsu",1979,30218,1.182,14.4421,0.05799,477153,51125,182473
"gsu",1980,31268,1.235,15.9897,0.06434,513194,63911,206616
"gsu",1981,31821,1.643,17.099,0.08194,631640,75167,270986
"gsu",1982,30153,1.694,19.4863,0.10338,627408,89033,387515
"gsu",1983,30340,1.573,22.2663,0.10644,638970,105097,423170
"hl&p",1966,18259,0.195,5.3197,0.02547,36631,20316,42716
"hl&p",1967,20427,0.194,5.6058,0.02582,40760,22894,46424
"hl&p",1968,22966,0.193,5.8091,0.02922,45594,26106,58928
"hl&p",1969,25921,0.19,6.2305,0.03072,50650,30118,67132
"hl&p",1970,27741,0.198,6.3782,0.03196,56313,35195,76228
"hl&p",1971,30888,0.204,6.6823,0.03203,64383,39011,80094
"hl&p",1972,34468,0.212,7.412,0.03644,73506,44168,100423
"hl&p",1973,36694,0.253,7.4812,0.03776,93595,48695,110370
"hl&p",1974,38191,0.36,7.6056,0.04054,139327,52851,127709
"hl&p",1975,40276,0.6,9.0543,0.04889,239949,60039,162261
"hl&p",1976,43355,0.814,9.4261,0.04913,353654,62231,169952
"hl&p",1977,48533,1.057,12.7576,0.05454,519542,83473,214877
"hl&p",1978,53323,1.279,13.1549,0.05659,687014,93334,239162
"hl&p",1979,55057,1.716,14.9003,0.06732,966552,116967,292564
"hl&p",1980,57948,2.047,15.8784,0.07646,1236867,138666,359259
"hl&p",1981,59616,2.704,17.5768,0.08355,1687740,163060,407833
"hl&p",1982,59371,3.365,19.6646,0.09328,2149545,205810,492413
"hl&p",1983,58504,3.057,21.0514,0.10044,2088526,231102,548331
"sps",1966,6093,0.19,6.2402,0.02349,13053,12106,22826
"sps",1967,6009,0.183,6.7497,0.02394,12617,12352,23759
"sps",1968,6191,0.18,7.0363,0.02458,12892,12391,25773
"sps",1969,6735,0.181,7.3915,0.02534,14181,12913,26967
"sps",1970,7270,0.187,7.8247,0.02471,15832,13834,26694
"sps",1971,7683,0.208,8.3749,0.02878,17553,15058,33035
"sps",1972,8647,0.241,8.927,0.02849,22157,15783,33388
"sps",1973,8915,0.255,9.4234,0.03139,27461,17028,37473
"sps",1974,9440,0.411,10.2081,0.03196,45127,18834,39767
"sps",1975,9734,0.782,11.4483,0.03439,80345,21809,43487
"sps",1976,10951,1.106,12.4654,0.03986,129281,24644,55011
"sps",1977,11694,1.374,14.0203,0.04442,177626,28994,62838
"sps",1978,12382,1.559,14.477,0.04961,206021,31415,75804
"sps",1979,12309,1.762,16.2755,0.05533,237773,36392,86043
"sps",1980,13375,1.978,18.217,0.06193,281315,40296,103162
"sps",1981,13452,2.19,20.5724,0.06401,313829,46576,107469
"sps",1982,13864,2.492,23.0849,0.08251,364489,53834,155872
"sps",1983,14792,2.553,25.5661,0.09137,412835,61691,176695
"swepco",1966,4064,0.207,5.9707,0.0253,12079,8765,16733
"swepco",1967,4318,0.208,6.0617,0.02304,13906,8941,15959
"swepco",1968,4918,0.213,6.3377,0.0282,15536,9589,20536
"swepco",1969,5986,0.212,6.285,0.02461,20236,10100,18743
"swepco",1970,7333,0.211,6.6967,0.03501,22623,11063,29226
"swepco",1971,7455,0.221,7.0554,0.03211,23476,11846,29174
"swepco",1972,9117,0.256,7.5455,0.03841,29975,12782,36350
"swepco",1973,9293,0.276,7.8495,0.03912,38125,13250,38083
"swepco",1974,10118,0.31,8.3907,0.03885,46415,14541,40749
"swepco",1975,9737,0.403,8.9971,0.0388,54109,15457,41692
"swepco",1976,9715,0.602,9.5256,0.04452,79985,16527,49577
"swepco",1977,11157,0.803,10.3102,0.0558,111900,18548,70584
"swepco",1978,12120,0.984,11.7309,0.05527,138799,21620,75324
"swepco",1979,13216,1.067,13.225,0.064,160737,25154,88876
"swepco",1980,14172,1.217,14.2162,0.07414,189248,27423,112099
"swepco",1981,15757,1.31,15.6405,0.07455,229792,31062,116748
"swepco",1982,16067,1.88,18.1732,0.09712,331388,37564,165293
"swepco",1983,16239,2.384,19.9583,0.10511,392973,42072,181286
"tesco",1966,8641,0.227,6.4288,0.02444,20917,16117,30199
"tesco",1967,9623,0.222,6.7935,0.02458,22576,17174,31149
"tesco",1968,10442,0.219,7.1123,0.0263,24157,18428,34023
"tesco",1969,12280,0.228,7.9594,0.02722,29529,20591,37686
"tesco",1970,12969,0.232,8.3151,0.02681,31827,21852,38248
"tesco",1971,13125,0.251,8.9419,0.03067,36442,23249,47754
"tesco",1972,14467,0.271,9.6153,0.03338,45717,25394,54365
"tesco",1973,15071,0.248,10.1037,0.03487,48891,26896,61308
"tesco",1974,15412,0.263,10.9051,0.03484,48892,29411,63715
"tesco",1975,16136,0.342,12.5543,0.04467,62782,33319,84464
"tesco",1976,17091,0.449,14.5573,0.04883,82717,37121,96057
"tesco",1977,18692,0.598,15.6296,0.05451,133370,40340,114605
"tesco",1978,21029,0.765,16.8025,0.0603,178209,44846,136845
"tesco",1979,20824,0.689,18.9853,0.06549,167100,52988,156831
"tesco",1980,21835,0.803,21.1008,0.07032,205019,61340,170770
"tesco",1981,21676,1.683,23.3807,0.07053,397962,71311,174557
"tesco",1982,22722,2.322,26.8408,0.07811,574471,83770,200286
"tesco",1983,23518,2.363,30.0413,0.08613,594198,90274,226081
"tp&l",1966,8206,0.184,5.1618,0.02445,16633,13555,30009
"tp&l",1967,8809,0.184,5.5268,0.02598,17818,14729,34850
"tp&l",1968,9613,0.193,5.6827,0.0272,20133,15849,38672
"tp&l",1969,11874,0.208,6.0321,0.0265,26599,17469,39767
"tp&l",1970,13283,0.22,6.4596,0.02985,31160,19566,48978
"tp&l",1971,14643,0.24,6.7515,0.0338,37338,21409,61288
"tp&l",1972,16433,0.27,7.2865,0.03618,46887,24133,72734
"tp&l",1973,17998,0.283,7.1405,0.03902,62313,24799,82652
"tp&l",1974,19153,0.447,7.4775,0.04071,97801,27106,93231
"tp&l",1975,19697,0.75,8.9702,0.05146,154446,32203,127944
"tp&l",1976,20308,0.953,10.1002,0.05612,203149,36078,143721
"tp&l",1977,23479,1.11,11.1356,0.06125,276422,40311,168830
"tp&l",1978,25916,1.108,12.3655,0.06599,300172,46321,198241
"tp&l",1979,26681,1.143,13.6474,0.06932,328072,54453,218399
"tp&l",1980,28650,1.256,15.1585,0.07374,411760,63681,238987
"tp&l",1981,28922,1.616,15.8778,0.07916,492256,82914,277775
"tp&l",1982,30061,1.854,18.1691,0.09083,583021,101729,329858
"tp&l",1983,31106,2.025,20.7637,0.09985,683584,109404,372346
"wtu",1966,2192,0.186,6.0281,0.02378,4818,5582,9519.8
"wtu",1967,2330,0.189,6.0237,0.02428,5018,5596,9988.5
"wtu",1968,2448,0.194,6.2508,0.02447,5422,5832,10309.9
"wtu",1969,2920,0.205,6.3914,0.02705,6771,5976,12000.6
"wtu",1970,2899,0.205,6.3347,0.02781,6748,6360,12553.7
"wtu",1971,2953,0.217,6.8934,0.02796,6981,6659,13354.9
"wtu",1972,3314,0.229,7.0947,0.02866,8539,6967,13928.9
"wtu",1973,3620,0.245,7.3756,0.03058,11556,7383,15073.5
"wtu",1974,3941,0.385,7.8488,0.03633,18597,7943,19041.4
"wtu",1975,4369,0.781,8.5533,0.03735,39530,8827,19751.7
"wtu",1976,4535,1.114,9.4367,0.03954,58110,9616,21263.2
"wtu",1977,4991,1.354,10.5448,0.04162,75569,10587,23769.6
"wtu",1978,4739,1.53,12.6425,0.04502,76857,13085,26133.6
"wtu",1979,4966,1.706,13.1682,0.04592,87424,14722,27084.9
"wtu",1980,5598,1.866,14.5723,0.05288,110289,16933,32010.2
"wtu",1981,4952,2.421,16.688,0.05382,124426,20109,33691
"wtu",1982,5160,3.159,17.9916,0.06924,170808,23623,45448
"wtu",1983,5303,3.167,20.2438,0.0742,181320,26823,49778
